loss,accuracy,val_loss,val_accuracy
0.2728120684623718,0.8924595713615417,0.98440021276474,0.6910159587860107
0.21377204358577728,0.9199748039245605,1.3918814659118652,0.6448362469673157
0.19815593957901,0.9329972863197327,1.0088398456573486,0.7019311785697937
0.1380632519721985,0.9531611204147339,1.115803837776184,0.6876574158668518
0.09641709178686142,0.9670237302780151,1.544042944908142,0.6465155482292175
0.1134193167090416,0.961982786655426,1.1720651388168335,0.6868178248405457
0.07229653000831604,0.9766855835914612,1.2665762901306152,0.6633081436157227
0.04366625100374222,0.9852972030639648,1.4053013324737549,0.6826196312904358
0.06482335180044174,0.9766855835914612,1.439914584159851,0.7010915279388428
0.06348729878664017,0.9823566675186157,1.2540305852890015,0.6733837127685547
0.056138407438993454,0.9827767014503479,1.478641390800476,0.6876574158668518
