loss,accuracy,val_loss,val_accuracy
1.125462532043457,0.3726973831653595,1.0440850257873535,0.42960527539253235
1.0354032516479492,0.4309210479259491,1.0179520845413208,0.441447377204895
0.9995055198669434,0.4659539461135864,0.9573898911476135,0.50789475440979
0.9448256492614746,0.5141447186470032,0.9384480714797974,0.5309210419654846
0.8859463930130005,0.5572368502616882,0.8931551575660706,0.553947389125824
0.8219581246376038,0.5986841917037964,0.9039891958236694,0.5407894849777222
0.7572956085205078,0.6478618383407593,0.8950483798980713,0.5717105269432068
0.688291072845459,0.6863486766815186,0.95253586769104,0.5651316046714783
0.6009963750839233,0.7317433953285217,0.9061098694801331,0.5861842036247253
0.512401282787323,0.7753289341926575,1.02772855758667,0.5868421196937561
