loss,accuracy,val_loss,val_accuracy
1.3086676597595215,0.36286765336990356,1.0120916366577148,0.43318647146224976
1.0426427125930786,0.3970588445663452,1.004785180091858,0.4434654712677002
1.012268304824829,0.41433823108673096,1.0095490217208862,0.4140969216823578
1.003020167350769,0.43014708161354065,0.9712709188461304,0.4669603407382965
0.9949386119842529,0.43529412150382996,0.9710638523101807,0.472834050655365
0.9863068461418152,0.46176472306251526,0.9570643901824951,0.4757709205150604
0.9784991145133972,0.4636029601097107,0.9722881317138672,0.4669603407382965
0.9594055414199829,0.4838235378265381,0.9688658714294434,0.453744500875473
0.9418002367019653,0.49852943420410156,0.9591436386108398,0.47136563062667847
0.9215128421783447,0.5283088088035583,0.9667059183120728,0.4757709205150604
0.9153452515602112,0.5352941155433655,0.9538017511367798,0.4889867901802063
0.892270028591156,0.5455882549285889,0.9559584856033325,0.46842876076698303
0.8713048696517944,0.5753676295280457,0.9770732522010803,0.4596182107925415
0.8333824872970581,0.604411780834198,0.970780074596405,0.48458150029182434
0.8077468276023865,0.6191176772117615,0.9682303071022034,0.47870779037475586
0.7607301473617554,0.6522058844566345,0.9755802750587463,0.5139500498771667
