loss,accuracy,val_loss,val_accuracy
1.134183406829834,0.3989070951938629,1.0228537321090698,0.43103447556495667
0.9901846647262573,0.4595915973186493,0.9803968667984009,0.47471264004707336
0.947357177734375,0.4958297312259674,0.9093201756477356,0.5195402503013611
0.854546070098877,0.573482871055603,0.918166995048523,0.5344827771186829
0.7797697186470032,0.6212251782417297,0.8918963670730591,0.5666666626930237
0.6655190587043762,0.7014667987823486,1.0986082553863525,0.5057471394538879
0.5586943626403809,0.758124828338623,1.0780296325683594,0.5367816090583801
0.47144758701324463,0.8090307712554932,1.107356309890747,0.5126436948776245
0.3767054080963135,0.8547598719596863,1.1218446493148804,0.5597701072692871
0.22913148999214172,0.9186080098152161,1.320916771888733,0.5908045768737793
